hh2_(sigma,mu)
0.06760041169227033184340275256	(17,6)
0.06760379984737073244390790703	(17,7)
0.06760898292094709387005224439	(17,8)
0.06761640006696874005497782705	(17,9)
0.06762647196052441455954573313	(17,10)
0.06763957682226486072905847479	(17,11)
0.06765602746264693239894481642	(17,12)
0.06767605004072471945002636221	(17,13)
0.06769976516057120335915460808	(17,14)
0.06772717190537898826755370474	(17,15)
0.06775813543162493847146024129	(17,16)
0.06779237879288003261974911112	(17,17)
0.06782947970103553983057495691	(17,18)
0.06786887292203870579965533397	(17,19)
0.06790985890706824596261247708	(17,20)
0.06795161905405757781356297866	(17,21)
0.06799323767313448292300818338	(17,22)
0.06803373030919624956929266662	(17,23)
0.06807207759201976261817103632	(17,24)
0.06810726329036940713711348963	(17,25)
0.06813831479967187445427320545	(17,26)
0.06816434394907402574298364693	(17,27)
0.06818458581906641770059235867	(17,28)
0.068198433245209489741880016	(17,29)
0.0682054648573205842962404811	(17,30)
0.06072022749471835435039743376	(18,1)
0.06072025607343507701188266654	(18,2)
0.06072044879222599901182316065	(18,3)
0.06072106937571180745203831954	(18,4)
0.06072249531768534103057756772	(18,5)
0.06072519725928763640011401223	(18,6)
0.06072971320732204051316756144	(18,7)
0.06073661887277619716710775472	(18,8)
0.06074649552624653017467490144	(18,9)
0.06075989679328752370307051471	(18,10)
0.06077731576579811688860894251	(18,11)
0.06079915371030754811335899184	(18,12)
0.06082569153755620786338145668	(18,13)
0.06085706508321616591400226729	(18,14)
0.06089324515063065357585974507	(18,15)
0.060934023183885317254030431	(18,16)
0.06097900336096875219312802331	(18,17)
0.06102760179964071961751598827	(18,18)
0.0610790534258957550595723478	(18,19)
0.0611324268424769602543273865	(18,20)
0.06118664723865467549375686839	(18,21)
0.06124052700355046874302464378	(18,22)
0.06129280326208439643300929382	(18,23)
0.06134218107942518150693694442	(18,24)
0.06138738062212057368134124039	(18,25)
0.06142718617187765341520838853	(18,26)
0.06146049460837681749719019736	(18,27)
0.06148636084812894150746382901	(18,28)
0.0615040377703687951808146562	(18,29)
0.0615130083844021594586153021	(18,30)
0.05392666717945585494378124986	(19,1)
0.05392670405865422275064877878	(19,2)
0.05392695274981749149960768152	(19,3)
0.05392775355610867642900445674	(19,4)
0.05392959350771624953595592629	(19,5)
0.05393307956663785172120452221	(19,6)
0.0539389049934042942932057223	(19,7)
0.0539478104888546867953208575	(19,8)
0.05396054192567462381469255403	(19,9)
0.05397780658638504235883944854	(19,10)
0.05400022983453344953944519664	(19,11)
0.05402831407882418969975193924	(19,12)
0.05406240176411092893049834949	(19,13)
0.05410264395615404464818874901	(19,14)
0.05414897589199782295964959327	(19,15)
0.05420110065107591582002866913	(19,16)
0.05425848186266301390241696468	(19,17)
0.05432034609623628297509482083	(19,18)
0.05438569527350390409864523692	(19,19)
0.05445332908716678188916249335	(19,20)
0.0545218770111835005667110681	(19,21)
0.05458983904930490602741564843	(19,22)
0.05465563391267278694336930275	(19,23)
0.05471765287282320670030839842	(19,24)
0.05477431713951432336513144153	(19,25)
0.0548241363012795028229709859	(19,26)
0.05486576517500959145603349757	(19,27)
0.0548980563655976326829091979	(19,28)
0.0549201059524549536780061146	(19,29)
0.0549312899976333446684572406	(19,30)
0.04724043491654826740004362862	(20,1)
0.04724048135146806883267784636	(20,2)
0.04724079447925078634779445041	(20,3)
0.04724180275995208552750705157	(20,4)
0.04724411931214504900676390065	(20,5)
0.04724850798837989459219706028	(20,6)
0.04725584065883109868997324503	(20,7)
0.04726704769510390433179567515	(20,8)
0.04728306395200630083545242451	(20,9)
0.04730477274265809297321113227	(20,10)
0.04733295038670636814539525833	(20,11)
0.04736821388361249562949871056	(20,12)
0.04741097412886576460036431427	(20,13)
0.04746139686021707479237640003	(20,14)
0.0475193732058175721586772721	(20,15)
0.04758450132017708000256898396	(20,16)
0.04765608015149021719037977185	(20,17)
0.04773311589971235397665614719	(20,18)
0.04781434121357903981685089329	(20,19)
0.04789824665180601887899465334	(20,20)
0.04798312341525101531489181269	(20,21)
0.04806711586069776814737382314	(20,22)
0.04814828185282554577858127327	(20,23)
0.04822465862014214090016032928	(20,24)
0.04829433147510404497275975403	(20,25)
0.04835550255919062700686666465	(20,26)
0.04840655669797026811091849435	(20,27)
0.0484461215112826958148249364	(20,28)
0.0484731191241155388937763312	(20,29)
0.0484868071602980599034910996	(20,30)
0.04068174015608511538945285392	(21,1)
0.04068179750162363864707275527	(21,2)
0.04068218420223689338026399818	(21,3)
0.04068342937194826261890885106	(21,4)
0.04068629008089190146804635024	(21,5)
0.04069170926444899338261103591	(21,6)
0.04070076258436568364188240876	(21,7)
0.04071459666113793091974396801	(21,8)
0.04073436152933593820197733972	(21,9)
0.0407611404842513714109437553	(21,10)
0.04079588066778359035415487383	(21,11)
0.04083932776625686438655824918	(21,12)
0.04089196805201080038554961211	(21,13)
0.04095398069288625755166998727	(21,14)
0.04102520278979261374621205316	(21,15)
0.04110510900575886126902616227	(21,16)
0.04119280695509902587004065911	(21,17)
0.04128704877156360280709870551	(21,18)
0.04138625851584430885494064214	(21,19)
0.04148857435964502926715957954	(21,20)
0.04159190383306697025100619076	(21,21)
0.0416939898720334475892936496	(21,22)
0.04179248497042917778357771093	(21,23)
0.04188503043613791869361378982	(21,24)
0.04196933757326865980545063484	(21,25)
0.04204326756256848750672804203	(21,26)
0.04210490688413401055898179776	(21,27)
0.0421526353154225371270805248	(21,28)
0.0421851838359365130842285041	(21,29)
0.042201680168040251403992683	(21,30)
0.03426704409524918253895250424	(22,1)
0.03426711380153860264296205088	(22,2)
0.03426758385332639408217863668	(22,3)
0.03426909739349418970058522414	(22,4)
0.03427257455913254556861468896	(22,5)
0.03427916110850618497555044601	(22,6)
0.03429016341430637318421001517	(22,7)
0.03430697272050335042894416688	(22,8)
0.03433098214472638961316895162	(22,9)
0.03436350037152377817270611684	(22,10)
0.03440566628117667492393267205	(22,11)
0.03445836885214600821115659447	(22,12)
0.03452217652974499543703635912	(22,13)
0.03459727985350230917055180317	(22,14)
0.03468345048935394317640000744	(22,15)
0.03478001895624923602149569473	(22,16)
0.03488587233161979218040358419	(22,17)
0.03499947214639524002725360167	(22,18)
0.03511889162460969831853040626	(22,19)
0.03524187046565116680203526523	(22,20)
0.03536588457180234183438192214	(22,21)
0.03548822752823462488490672606	(22,22)
0.03560610025935234511291050628	(22,23)
0.03571670510441370718682615883	(22,24)
0.03581734055172437018802190391	(22,25)
0.03590549301263260954825168501	(22,26)
0.03597892227246658470970453015	(22,27)
0.036035737598524319987736258	(22,28)
0.0360744618946350019399653621	(22,29)
0.036094081752691234386341786	(22,30)
0.02800951039787863190457208929	(23,1)
0.02800959400405504799034707464	(23,2)
0.02801015778546891409398591342	(23,3)
0.02801197310897193866106392418	(23,4)
0.02801614346338496351742654551	(23,5)
0.0280240426131476657385945022	(23,6)
0.02803723617625257069484878511	(23,7)
0.02805739005434233301954503835	(23,8)
0.0280861699090015770214934409	(23,9)
0.02812513652039484632371767889	(23,10)
0.02817564231242470589142550066	(23,11)
0.02823873450962796811774206194	(23,12)
0.02831507024357303665325810437	(23,13)
0.02840484841598537676779532806	(23,14)
0.02850776225770893091287024027	(23,15)
0.02862297534912343316910253195	(23,16)
0.02874912248491101929918866001	(23,17)
0.02888433530136475264363325258	(23,18)
0.02902629117580268956012150276	(23,19)
0.02917228268084356328235663107	(23,20)
0.02931930392476226323521199508	(23,21)
0.02946414948192798962347017844	(23,22)
0.02960352131724078416259354488	(23,23)
0.02973413909972099719522499444	(23,24)
0.02985284952243303116353780602	(23,25)
0.02995673062916399017874818442	(23,26)
0.03004318762762836063931868023	(23,27)
0.0301100371926114670813494906	(23,28)
0.0301555777953170935714042044	(23,29)
0.030178644117936690928545077	(23,30)
0.02191942839771373036433772027	(24,1)
0.02191952752382077407146790072	(24,2)
0.02192019595881547169312332558	(24,3)
0.02192234823405032277273584127	(24,4)
0.02192729253678210990560839404	(24,5)
0.02193665712902216217765967608	(24,6)
0.02195229686615519694101609498	(24,7)
0.0219761838276317658406270786	(24,8)
0.02201028705294290152305399029	(24,9)
0.02205644723367808969071814472	(24,10)
0.02211625284275426570549856791	(24,11)
0.02219092447281525802866630609	(24,12)
0.02228121400960541476182933004	(24,13)
0.02238732462427457486006323579	(24,14)
0.02250885643285059148174130747	(24,15)
0.0226447811144693381631447601	(24,16)
0.02279344694235013695844687559	(24,17)
0.02295261374992794083856649841	(24,18)
0.02311951553104404391753281036	(24,19)
0.02329094683869049519384650208	(24,20)
0.02346336803063953862969285812	(24,21)
0.02363302377155204480925864005	(24,22)
0.02379606902739115404157944367	(24,23)
0.02394869700834708340021318249	(24,24)
0.02408726402467468238666971855	(24,25)
0.02420840689935551361880567606	(24,26)
0.02430914932711822435705262881	(24,27)
0.0243869943008877222853648204	(24,28)
0.0244400003940486282889354057	(24,29)
0.024466840267889078747382761	(24,30)
0.01600460639331880114583102271	(25,1)
0.01600472273032641334104986369	(25,2)
0.01600550722104610456914744693	(25,3)
0.01600803315509492723410099999	(25,4)
0.01601383569451521630042163944	(25,5)
0.01602482523241873523025686866	(25,6)
0.01604317711922025429450300406	(25,7)
0.01607120240781451123926471415	(25,8)
0.01611120550206104502962207709	(25,9)
0.01616533570793213990417446815	(25,10)
0.01623544053780576441942985932	(25,11)
0.0163229290448425111199737796	(25,12)
0.01642865332319810022457594954	(25,13)
0.01655281551248587188285368862	(25,14)
0.01669490618868480343818506172	(25,15)
0.01685367800778086341468498746	(25,16)
0.01702715608788491153346620795	(25,17)
