luu122_(sigma,mu)
-0.00028909059576470037522294465	(17,18)
0.00027731131660285613642605327	(17,19)
0.00072529919165676606171535358	(17,20)
0.00103744942907835736286465893	(17,21)
0.00120745084929695691566230092	(17,22)
0.00124113659893440540255746745	(17,23)
0.00115619671820075170235805877	(17,24)
0.0009805366798603667500315718	(17,25)
0.00074941949396031669195955805	(17,26)
0.00050168946350670388828159362	(17,27)
0.00027550174594160121265052834	(17,28)
0.0001040555159649777550997913	(17,29)
0.0000118389124045529550263515	(17,30)
-0.00642614360513030569780389672	(18,1)
-0.0064253363057466141282952034	(18,2)
-0.00641989352394346514165759709	(18,3)
-0.0064023810433817722599382825	(18,4)
-0.00636222331929215210016349342	(18,5)
-0.0062864417748381055193411316	(18,6)
-0.00616069109535147726211704127	(18,7)
-0.00597059069610589374149302622	(18,8)
-0.00570330257849035156057686838	(18,9)
-0.00534924920798437361406732505	(18,10)
-0.00490380711877863924063431301	(18,11)
-0.00436876706991751677101277658	(18,12)
-0.00375333259095060913737156545	(18,13)
-0.0030744451441711529792880937	(18,14)
-0.00235627963869069752493804958	(18,15)
-0.0016288452468159223075464611	(18,16)
-0.0009257427469608684716783506	(18,17)
-0.00028125443080407452492421828	(18,18)
0.00027294380017218711975845098	(18,19)
0.00071107576301911128324228695	(18,20)
0.00101615531553197106204362987	(18,21)
0.0011820850997150270476984055	(18,22)
0.00121465153768897771296744266	(18,23)
0.00113122859627011627623671848	(18,24)
0.00095915980372284106040345115	(18,25)
0.00073295597052381280157441166	(18,26)
0.00049060173716422720893634482	(18,27)
0.00026938563149041623784704031	(18,28)
0.0001017386054483843068268051	(18,29)
0.0000115749134818161944881045	(18,30)
-0.00607808403121305714923281081	(19,1)
-0.00607731955548132538590856218	(19,2)
-0.00607216549260294528591139738	(19,3)
-0.00605558202394476082794439225	(19,4)
-0.00601755484738596806257772085	(19,5)
-0.00594579476018562035680082829	(19,6)
-0.0058267198524787783646368808	(19,7)
-0.00564671767785803996642948067	(19,8)
-0.00539364105672789601928670524	(19,9)
-0.00505843639714643453177703455	(19,10)
-0.00463674833335995730432786546	(19,11)
-0.00413030186778493034247302602	(19,12)
-0.00354784531866647595729303091	(19,13)
-0.00290545325971199331731634269	(19,14)
-0.00222604181161206342990548728	(19,15)
-0.00153803575635206939898928889	(19,16)
-0.00087323770466942549915519478	(19,17)
-0.0002640680741513669788411373	(19,18)
0.0002595479813361151376472085	(19,19)
0.00067329294458839447407623763	(19,20)
0.00096118198261411078070239287	(19,21)
0.00111753431474783968768378348	(19,22)
0.00114789820217361729013171027	(19,23)
0.00106875568006288466015047904	(19,24)
0.0009059817087900184887990511	(19,25)
0.00069219048297849460669310899	(19,26)
0.00046324731335673062376947979	(19,27)
0.0002543375133966216893226046	(19,28)
0.00009604833587742315634022711	(19,29)
0.0000109271228645175580692544	(19,30)
-0.00551619072880087264347702502	(20,1)
-0.00551549603205759927579978973	(20,2)
-0.00551081241961341343431125184	(20,3)
-0.00549574269091927554668982636	(20,4)
-0.00546118687333912177868638538	(20,5)
-0.00539597839547940986581583992	(20,6)
-0.00528777749200558434786500202	(20,7)
-0.00512421948700542843467234424	(20,8)
-0.00489427569506677828107925945	(20,9)
-0.00458973466520286281553748804	(20,10)
-0.00420666120931645261299910391	(20,11)
-0.00374665181904218379097315321	(20,12)
-0.00321768892152609638081894311	(20,13)
-0.00263441122375554970685007493	(20,14)
-0.00201766632310222578648891514	(20,15)
-0.00139329165028230151527214172	(20,16)
-0.00079017110455704662422356982	(20,17)
-0.00023772277169246276562254295	(20,18)
0.00023692949318310318461237363	(20,19)
0.00061177808324286582693796952	(20,20)
0.00087239608832506018465748973	(20,21)
0.00101371287541435709845390643	(20,22)
0.00104083770693373379223008988	(20,23)
0.00096877699262029288706980343	(20,24)
0.00082102565652187108566059949	(20,25)
0.00062715573651210677920120481	(20,26)
0.00041965600000796091055201557	(20,27)
0.00023037701439529149206679986	(20,28)
0.00008699293916002888237021351	(20,29)
9.8965239006040258948179e-6	(20,30)
-0.00474842813067283410749923912	(21,1)
-0.00474782928818160545198820779	(21,2)
-0.00474379192379970529862049434	(21,3)
-0.00473080156503036104270309078	(21,4)
-0.00470101409258080932445396674	(21,5)
-0.00464480455323933995433230257	(21,6)
-0.00455153810227659023894001925	(21,7)
-0.00441056108434075119949697685	(21,8)
-0.00421237568450808502645261872	(21,9)
-0.00394991824012923549269410067	(21,10)
-0.00361981774596945300727869782	(21,11)
-0.00322347750128496252984527018	(21,12)
-0.00276780901775477989297315082	(21,13)
-0.00226546041059882989699201479	(21,14)
-0.00173442424613434512590921887	(21,15)
-0.00119697936886002381690743127	(21,16)
-0.00067800914766286562862762937	(21,17)
-0.00020283199702396595217093593	(21,18)
0.00020523620999406518840837591	(21,19)
0.00052730882678925754937132077	(21,20)
0.0007510416938891906663268023	(21,21)
0.00087214893105570818989920494	(21,22)
0.00089509718004399184905397284	(21,23)
0.00083284854967405486182474335	(21,24)
0.00070563865775756502765749391	(21,25)
0.00053889816954892792082002635	(21,26)
0.0003605372733812234733609873	(21,27)
0.00019789741541550271434215716	(21,28)
0.00007472188051660767686361871	(21,29)
8.5001746758593317709946e-6	(21,30)
-0.00378969173421211763831204374	(22,1)
-0.00378921308644493387990662347	(22,2)
-0.00378598607132773984203733549	(22,3)
-0.003775603072257725985338284	(22,4)
-0.00375179458276119942712159248	(22,5)
-0.00370686822662562421408359869	(22,6)
-0.00363232565977351217448633097	(22,7)
-0.00351965579396868470027468731	(22,8)
-0.0033612749931963439852530928	(22,9)
-0.00315155005484853336753665905	(22,10)
-0.00288780478923792247501847911	(22,11)
-0.00257118407898896947934051498	(22,12)
-0.00220723833071964397598719198	(22,13)
-0.00180610200748640157527394184	(22,14)
-0.00138217459882334743885372	(22,15)
-0.00095326856522950291213491906	(22,16)
-0.00053925957510882771266431139	(22,17)
-0.00016034925763544147065646198	(22,18)
0.00016488253783287118041533756	(22,19)
0.00042141215913399361545668716	(22,20)
0.00059945164898445766885754653	(22,21)
0.00069564764600246772512792164	(22,22)
0.00071362292072889857189166718	(22,23)
0.00066375969228392611998878431	(22,24)
0.00056221655846158861520848465	(22,25)
0.0004292675577695415364844822	(22,26)
0.00028713927432084131765580866	(22,27)
0.00015758815659761561606521511	(22,28)
0.00005949657016373902306502192	(22,29)
6.7678747311401939774999e-6	(22,30)
-0.00265967933678746378330324685	(23,1)
-0.00265934290113671779653863786	(23,2)
-0.00265707467378402749212817277	(23,3)
-0.00264977662153865009000718562	(23,4)
-0.0026330421348009262180042175	(23,5)
-0.0026014648713859756304277774	(23,6)
-0.0025490728753418507922265934	(23,7)
-0.00246988689652271416367625567	(23,8)
-0.0023585821927565068718389821	(23,9)
-0.00221120846508593206104550916	(23,10)
-0.00202589784347243045217370237	(23,11)
-0.00180347184737447835737468084	(23,12)
-0.00154785060102988386918854193	(23,13)
-0.00126617538302184930297434837	(23,14)
-0.00096858032449701856168676483	(23,15)
-0.00066758898814387078130636498	(23,16)
-0.00037716167617064300731019236	(23,17)
-0.00011147212525948590360271934	(23,18)
0.00011646097490942231509443721	(23,19)
0.00029612977613570905152891107	(23,20)
0.00042071076070823875433544192	(23,21)
0.00048789832008239068673326175	(23,22)
0.00050027587819916847555284619	(23,23)
0.00046515570731729870872256489	(23,24)
0.00039388359129371324624719807	(23,25)
0.00030067182916800744416457167	(23,26)
0.00020108452270774294071442963	(23,27)
0.0001103445562906755781980745	(23,28)
0.00004165624810818306982809506	(23,29)
4.7382826472361648852966e-6	(23,30)
-0.00138081827816950698873439706	(24,1)
-0.00138064341958660411038021568	(24,2)
-0.00137946453519543730361921978	(24,3)
-0.00137567146864674921450435067	(24,4)
-0.00136697399696296886190196378	(24,5)
-0.00135056245695437152935018734	(24,6)
-0.00132333358247066558665688337	(24,7)
-0.00128218100225865729518961064	(24,8)
-0.00122433959133442781804276202	(24,9)
-0.0011477600063703440653663227	(24,10)
-0.00105147682586039405806532529	(24,11)
-0.00093592382100374401680494275	(24,12)
-0.00080314594308348385149224532	(24,13)
-0.00065686176868160353300301638	(24,14)
-0.00050234315929657528087504096	(24,15)
-0.00034609981850343679953786508	(24,16)
-0.00019538261949424552105190033	(24,17)
-0.00005754706826100360187846986	(24,18)
0.00006065751112550475096661516	(24,19)
