b^3^2_2_(sigma,mu)
0.001833583451813929620167797	(13,20)
0.0015566136305770615444203711	(13,21)
0.0012869831077916597710932867	(13,22)
0.0010306069373938981270233696	(13,23)
0.0007930867825616516467589276	(13,24)
0.0005795485327353393231559163	(13,25)
0.0003945182067564664913382657	(13,26)
0.0002418355918519313028819518	(13,27)
0.0001246010294070627206799468	(13,28)
0.0000451479644659556253215356	(13,29)
5.0326325178170828041334e-6	(13,30)
0.004922347238719173473860543	(14,1)
0.004922152509500200571024232	(14,2)
0.004920839402140236528502456	(14,3)
0.004916611436379322190809432	(14,4)
0.004906899181510915814050037	(14,5)
0.004888505601236313887307956	(14,6)
0.004857791275079892225547832	(14,7)
0.004810891795667313397023855	(14,8)
0.004743957507974929756832727	(14,9)
0.00465340379552633383355651	(14,10)
0.004536158586308600736064606	(14,11)
0.004389892928833134333375273	(14,12)
0.004213220627216294583743603	(14,13)
0.004005854187005982542810867	(14,14)
0.0037687067386032507078980606	(14,15)
0.0035039330372697844490787648	(14,16)
0.0032149067918028028995086957	(14,17)
0.0029061360257765422493017523	(14,18)
0.0025831224396709463364610686	(14,19)
0.0022521743473858882031429648	(14,20)
0.0019201853270681289764431059	(14,21)
0.0015943920281347216883499437	(14,22)
0.0012821245739073059778934228	(14,23)
0.0009905618348473156748675584	(14,24)
0.0007265018096033239105830652	(14,25)
0.0004961548151471406221418134	(14,26)
0.0003049645463378948874162182	(14,27)
0.0001574596672852599845269285	(14,28)
0.0000571366984187230021304008	(14,29)
6.37370560694785311898961e-6	(14,30)
0.005758902253229790594435986	(15,1)
0.005758688481738210605936555	(15,2)
0.005757246941223241413227629	(15,3)
0.005752605131837034337600633	(15,4)
0.005741940412181447108600339	(15,5)
0.005721736105640389749300295	(15,6)
0.005687978008955392182392155	(15,7)
0.00563638210973250929243035	(15,8)
0.005562642922147900386478205	(15,9)
0.005462690955351980157604761	(15,10)
0.005332947459053150571262439	(15,11)
0.005170564742406774813057427	(15,12)
0.004973641010485907784207574	(15,13)
0.004741399762740970960400829	(15,14)
0.00447432528856990844911001	(15,15)
0.0041742476013132938603010082	(15,16)
0.0038443721895926179275130584	(15,17)
0.0034892521475045856724815114	(15,18)
0.0031147024916353859509256077	(15,19)
0.0027276587140489665031857765	(15,20)
0.0023359838025966461128247973	(15,21)
0.0019482300427235935218725332	(15,22)
0.0015733638634712400147175978	(15,23)
0.0012204637628144298608869949	(15,24)
0.0008984028823253589142077384	(15,25)
0.0006155290086956079363379607	(15,26)
0.0003793555425814128737079811	(15,27)
0.0001962771613394907498054535	(15,28)
0.0000713233883401737266580773	(15,29)
7.9619845072719096576625e-6	(15,30)
0.006630446677904308758183678	(16,1)
0.006630218563245286915739201	(16,2)
0.006628680265023304980955985	(16,3)
0.006623726461745865575577906	(16,4)
0.006612342435130193195397763	(16,5)
0.006590765890512900337124591	(16,6)
0.006554687239927938684648283	(16,7)
0.006499477524400144712941321	(16,8)
0.006420432970955844724671242	(16,9)
0.006313025969717134536069509	(16,10)
0.006173153677957628118074788	(16,11)
0.005997377071395438158002637	(16,12)
0.005783144619816598616629377	(16,13)
0.005528995504376582579255379	(16,14)
0.005234737229223670507210476	(16,15)
0.0049015916446374776147140965	(16,16)
0.0045323020559686954663892	(16,17)
0.0041311926928496773125614226	(16,18)
0.0037041709105096169045475503	(16,19)
0.0032586626371621487837058214	(16,20)
0.002803473194542106393342673	(16,21)
0.0023485689104935982997821704	(16,22)
0.0019047798419181527189450698	(16,23)
0.0014834300708851892170615224	(16,24)
0.0010959088098167960504531019	(16,25)
0.00075320216328169628080164	(16,26)
0.0004654109901115916704077682	(16,27)
0.0002412840945174303215685517	(16,28)
0.0000877973274348888590041696	(16,29)
9.8077471643465969961647e-6	(16,30)
0.007518700280377895209903564	(17,1)
0.007518464044459587014227812	(17,2)
0.007516870930861411746536533	(17,3)
0.007511740020149499209815603	(17,4)
0.007499945614598148294968948	(17,5)
0.007477578359715397071790428	(17,6)
0.007440139889658489612150093	(17,7)
0.00738275842136222141131807	(17,8)
0.007300414323051109899494572	(17,9)
0.007188167881242713457433034	(17,10)
0.007041385436686065210203276	(17,11)
0.00685596369695785138408498	(17,12)
0.006628554315729037001240466	(17,13)
0.006356790954778649982885761	(17,14)
0.006039518658307428052238919	(17,15)
0.005677020678357260785891624	(17,16)
0.0052712316745401478538361845	(17,17)
0.0048259197040521233044204003	(17,18)
0.0043468140838682784414082912	(17,19)
0.0038416534586018486843464	(17,20)
0.0033201293190337028280861367	(17,21)
0.0027937052960612278805631821	(17,22)
0.0022753016223188223468096199	(17,23)
0.001778846344366101481789598	(17,24)
0.0013187087596372928541571827	(17,25)
0.0009090443823520929163630183	(17,26)
0.0005630926763246458286753841	(17,27)
0.0002924771892302996860234896	(17,28)
0.0001065613628920820152266509	(17,29)
0.0000119115381975657246680008	(17,30)
0.008404880526025947593348323	(18,1)
0.008404643679914786647155424	(18,2)
0.008403046385062069652452906	(18,3)
0.008397901223701557918150628	(18,4)
0.008386069528767740808853046	(18,5)
0.008363614259025970910799979	(18,6)
0.008325978029669694837464172	(18,7)
0.008268171869630960481442771	(18,8)
0.008184964293015718645827803	(18,9)
0.008071066686954925921464718	(18,10)
0.00792131830404764286067991	(18,11)
0.007730880426409063865134885	(18,12)
0.007495452699946228367754227	(18,13)
0.00721152383864261071173489	(18,14)
0.006876663303117027975786938	(18,15)
0.006489850629230522902747782	(18,16)
0.0060518263172015298398700526	(18,17)
0.0055654348919191825993363545	(18,18)
0.0050359196006767442928611699	(18,19)
0.0044711217767103147133709856	(18,20)
0.0038815380604946924946359796	(18,21)
0.0032801962777923428684486695	(18,22)
0.002682325423267952464791362	(18,23)
0.0021048152969971415530051986	(18,24)
0.001565484367611317092049362	(18,25)
0.00108219735934907637737358	(18,26)
0.0006718938167435835389889214	(18,27)
0.0003496028398698481728970136	(18,28)
0.0001275254186273241497068539	(18,29)
0.0000142634180562969068027185	(18,30)
0.009271277335687054715998369	(19,1)
0.00927104832205768781939156	(19,2)
0.009269503761384227244120782	(19,3)
0.009264527421934363813235398	(19,4)
0.009253077914350947767657455	(19,5)
0.009231324979794129229743468	(19,6)
0.009194798851355644475133674	(19,7)
0.009138536326646143372444841	(19,8)
0.009057214298522650298621795	(19,9)
0.008945271983939658852777578	(19,10)
0.008797034581719778920117512	(19,11)
0.008606860658916355812153449	(19,12)
0.008369340364995336312302723	(19,13)
