e^1_(sigma,mu)
1.9202680364012022400868836	(17,1)
1.9202685494728580840533931	(17,2)
1.9202720090593431610214147	(17,3)
1.9202831461327078416341906	(17,4)
1.920308717113582376756389	(17,5)
1.9203570970179447143962109	(17,6)
1.9204377441878397755032931	(17,7)
1.9205605518067048945123853	(17,8)
1.9207351135968244086795048	(17,9)
1.9209699450213327498602246	(17,10)
1.9212717144685483845242753	(17,11)
1.921644548352164614533494	(17,12)
1.9220894770403521668181171	(17,13)
1.9226040830307752051257637	(17,14)
1.9231823981252674699892012	(17,15)
1.9238150734546812608530079	(17,16)
1.9244898176088468448803818	(17,17)
1.925192067671518333428835	(17,18)
1.9259058301404723293928966	(17,19)
1.9266146078925854904305875	(17,20)
1.9273023189660061440397689	(17,21)
1.9279541148393887773776405	(17,22)
1.9285570200365268407818048	(17,23)
1.9291003393091776577184573	(17,24)
1.9295758098272954425685109	(17,25)
1.9299775092552466071132442	(17,26)
1.9303015616105964681100804	(17,27)
1.9305457071734863140750405	(17,28)
1.9307088172942112106284044	(17,29)
1.930790438032170007526486	(17,30)
1.7261747163885841067179219	(18,1)
1.7261747696044352809320178	(18,2)
1.7261751282398029343894041	(18,3)
1.7261762804679452004757581	(18,4)
1.726178912782512418788326	(18,5)
1.7261838425229380771899563	(18,6)
1.7261919123981874036193701	(18,7)
1.7262038432372814271523675	(18,8)
1.7262200494550948269576488	(18,9)
1.7262404324777319547257098	(18,10)
1.7262641784160063865421334	(18,11)
1.7262895949528899941935253	(18,12)
1.7263140261599040207917879	(18,13)
1.7263338808944788145885825	(18,14)
1.7263447998493423479351587	(18,15)
1.7263419689924049175507741	(18,16)
1.7263205652905582045602576	(18,17)
1.7262762976451045814035798	(18,18)
1.7262059858330469339228037	(18,19)
1.7261081067162778179759546	(18,20)
1.7259832328971114192064526	(18,21)
1.7258342957198635866109066	(18,22)
1.7256666216308155100339307	(18,23)
1.7254877162931842083791531	(18,24)
1.7253068010613518034523425	(18,25)
1.7251341372691341359152063	(18,26)
1.7249802010504313641073385	(18,27)
1.7248547914429387530658679	(18,28)
1.7247661647515782490389909	(18,29)
1.724720287338298056360075	(18,30)
1.54394924145385975465539377	(19,1)
1.54394887136341536132372753	(19,2)
1.54394637552426049663880211	(19,3)
1.54393833668482747970535217	(19,4)
1.54391985472767402301421547	(19,5)
1.54388479314964969192166299	(19,6)
1.54382607228299370289265927	(19,7)
1.54373598835127104763231856	(19,8)
1.54360654166336268625204664	(19,9)
1.54342976451880566744659399	(19,10)
1.54319804790669643569712264	(19,11)
1.54290447356803982688185651	(19,12)
1.54254316223218569441837295	(19,13)
1.54210964815655604315678621	(19,14)
1.54160128381655457733234188	(19,15)
1.5410176672908134109645389	(19,16)
1.54036107040584428653806838	(19,17)
1.53963683085169708385006179	(19,18)
1.538853659499666652249108	(19,19)
1.53802380806091943947132896	(19,20)
1.53716304416950449879015177	(19,21)
1.53629039176251392185816114	(19,22)
1.53542761353436590722641496	(19,23)
1.53459843710762146903078537	(19,24)
1.53382755419717938489616595	(19,25)
1.53313944877453605299784971	(19,26)
1.53255713251034815752700639	(19,27)
1.53210088067795233410284763	(19,28)
1.5317870673382748814515875	(19,29)
1.5316271942772704656049306	(19,30)
1.37322760770585328490459255	(20,1)
1.37322686327068521664784746	(20,2)
1.37322184313076187393503142	(20,3)
1.37320567648557493507080677	(20,4)
1.37316852366463746600930305	(20,5)
1.37309810181447571048887615	(20,6)
1.37298033379611277031929591	(20,7)
1.37280008456538916904186057	(20,8)
1.37254194950206575678484112	(20,9)
1.37219106276412793032773464	(20,10)
1.37173389941063712208747471	(20,11)
1.37115905099502940202200946	(20,12)
1.37045795879318292735928871	(20,13)
1.36962559041016709557666511	(20,14)
1.36866104359147805779926327	(20,15)
1.36756805602535823590478984	(20,16)
1.36635539312707101441282374	(20,17)
1.36503707934898776805329338	(20,18)
1.36363243486010680468198807	(20,19)
1.36216588062861950771722742	(20,20)
1.3606664823958204754511685	(20,21)
1.35916721800011871724346318	(20,22)
1.35770397201427647231384501	(20,23)
1.35631428463679523237226877	(20,24)
1.35503590546023859075428948	(20,25)
1.35390522413440216092114223	(20,26)
1.3529556663278521365131098	(20,27)
1.35221615270448273056096532	(20,28)
1.35170971970258178235288734	(20,29)
1.3514523935185106736150769	(20,30)
1.21469707787852650352043923	(21,1)
1.21469601309395033124935033	(21,2)
1.21468883276959404653830856	(21,3)
1.21466571085519415072685941	(21,4)
1.21461258151634096810420362	(21,5)
1.21451190536610746702481741	(21,6)
1.21434362591851960434544355	(21,7)
1.21408626819058643228324702	(21,8)
1.2137181276878604677310423	(21,9)
1.21321849788997954447028034	(21,10)
1.21256888696776689606650893	(21,11)
1.21175417862382652736220655	(21,12)
1.21076369638888747110568467	(21,13)
1.20959213439505548159840143	(21,14)
1.20824032006347444543459527	(21,15)
1.20671577544129450572821685	(21,16)
1.20503304492487734407268543	(21,17)
1.20321375911637284352828268	(21,18)
1.20128640902412746596802507	(21,19)
1.19928581291659809971811196	(21,20)
1.19725227043361589283144053	(21,21)
1.19523041476233217053618207	(21,22)
1.19326779264607261620760192	(21,23)
1.19141322187439899175938062	(21,24)
1.18971499450574762344203227	(21,25)
1.18821900923394203131686906	(21,26)
1.18696692624294351321177863	(21,27)
1.1859944414421732588690954	(21,28)
1.18532977370428587223646751	(21,29)
1.184992448893975651572783	(21,30)
1.06934012870587814520918308	(22,1)
1.06933879678764399886033773	(22,2)
1.06932981513684589909553286	(22,3)
1.06930089354062238233330449	(22,4)
1.06923444298955935770273961	(22,5)
1.06910854417178779228217376	(22,6)
1.0688981637036293375098072	(22,7)
1.06857656007753445557569051	(22,8)
1.06811681390544403040658053	(22,9)
1.06749341318141815750996082	(22,10)
1.06668382370935273722127233	(22,11)
1.06566997699426043183398634	(22,12)
1.06443961210641595476147791	(22,13)
1.06298741367580611945356596	(22,14)
1.06131589485524800081284133	(22,15)
1.05943598171560160959497093	(22,16)
1.05736726432856426456655574	(22,17)
1.0551378901676016109971183	(22,18)
1.05278408781973897785599397	(22,19)
1.05034932351001698675054784	(22,20)
1.04788310932575956219593731	(22,21)
1.0454394995109455266239379	(22,22)
1.04307532855672544184682289	(22,23)
1.04084826055635798987565734	(22,24)
1.03881473193314986420235933	(22,25)
1.0370278779577360902015336	(22,26)
1.03553553666772022757660825	(22,27)
1.03437842164825707576721669	(22,28)
1.03358854789602586419248639	(22,29)
1.0331879833312480562984569	(22,30)
0.93790949612435841165495132	(23,1)
0.93790794577152806164291701	(23,2)
0.93789749119355292278641391	(23,3)
0.93786382741268791077738068	(23,4)
0.93778648551961435217525686	(23,5)
0.93763996831247106988021004	(23,6)
0.93739518241270575698498622	(23,7)
0.93702110106709655677885044	(23,8)
0.93648658091080931001703537	(23,9)
0.93576224839629679514352109	(23,10)
0.9348223677213159178991446	(23,11)
0.93364660207020530707727583	(23,12)
0.93222158379643693978506638	(23,13)
0.9305422166573258642141129	(23,14)
0.92861264409179491325353831	(23,15)
0.92644683145523423316538476	(23,16)
0.92406872665448941448262743	(23,17)
0.92151198220934164254154404	(23,18)
0.91881924169213116613052109	(23,19)
0.91604101385694689129878209	(23,20)
0.91323417747057573610163584	(23,21)
0.91046017769179314949107064	(23,22)
0.90778298962509332477273801	(23,23)
0.9052669353968941441333193	(23,24)
0.90297444710764039722008186	(23,25)
0.90096386909117878658451627	(23,26)
0.89928738932025927264461147	(23,27)
0.89798918218719811519114279	(23,28)
0.89710383416660792875867818	(23,29)
0.8966551110100070032355567	(23,30)
0.820666437409431776014876157	(24,1)
0.820664710962235087037876679	(24,2)
0.820653068975739642653987579	(24,3)
0.820615582422776669331921763	(24,4)
0.820529461759495222308527188	(24,5)
0.820366329150799528670635462	(24,6)
0.820093828256805530519578801	(24,7)
0.819677499898937255455983102	(24,8)
0.819082837615783507667738056	(24,9)
0.818277425853980771282790126	(24,10)
0.817233056293081149765424639	(24,11)
0.815927715480366536883162102	(24,12)
0.814347340240211371632155699	(24,13)
0.812487246555909442753396927	(24,14)
0.810353152670320141317980028	(24,15)
0.807961737366607058238428896	(24,16)
0.805340698610492318161148684	(24,17)
0.802528304361271247884819835	(24,18)
0.799572454491291189106057047	(24,19)
0.796529298385670150977539469	(24,20)
0.793461475033298626725953071	(24,21)
0.790436059712053996524955027	(24,22)
