a^2^2^2_2_(sigma,mu)
5.331767153641768817466445692	(19,3)
5.327382483761057957012683977	(19,4)
5.317309059494700837066806615	(19,5)
5.29822690453587497809653119	(19,6)
5.266349416483624677185286453	(19,7)
5.217641572979739144172749871	(19,8)
5.148058747433301157175948414	(19,9)
5.05379490516028337669491761	(19,10)
4.931528241325805026288136248	(19,11)
4.778652165472231367622031321	(19,12)
4.5934799850308896693479642781	(19,13)
4.3754127081407010506602623908	(19,14)
4.1250610468035701822434738778	(19,15)
3.8443148800546154983546700824	(19,16)
3.5363560134798787695156492656	(19,17)
3.2056128894530340078813693045	(19,18)
2.8576587823850217408049734175	(19,19)
2.4990577701124947311668641737	(19,20)
2.1371652343491369934424527512	(19,21)
1.7798916678356694636351828445	(19,22)
1.4354400540306592819927777844	(19,23)
1.1120279869719503377701926675	(19,24)
0.8176060141641897628291196586	(19,25)
0.5595834576569440156127322493	(19,26)
0.3445722744172134432864453527	(19,27)
0.1781584523430906817104991806	(19,28)
0.06470910326129356306838338	(19,29)
0.0072219015113646310859434954	(19,30)
5.333330793537231561783473112	(20,1)
5.333128360759621912356560577	(20,2)
5.331763289836477377545520843	(20,3)
5.327367814950391573893486802	(20,4)
5.317269634526145668098214285	(20,5)
5.298140841534874780214994094	(20,6)
5.266186195323859592748716491	(20,7)
5.217362274676022955464378834	(20,8)
5.147617436810567916346038776	(20,9)
5.053141270214376108302579497	(20,10)
4.93061146881377971372680017	(20,11)
4.777425858664062548575639992	(20,12)
4.5919077389587333442906880872	(20,13)
4.3734737813293633186328872266	(20,14)
4.1227554408683006071477669264	(20,15)
3.8416670909894156172536133449	(20,16)
3.5334167724275207236773289429	(20,17)
3.2024583727312852631741954644	(20,18)
2.8543870292774337269729178718	(20,19)
2.4957823738552951733263441394	(20,20)
2.1340067246946837098687272391	(20,21)
1.7769673330997884144492269236	(20,22)
1.4328532076961629477565559357	(20,23)
1.1098578281346843161302837463	(20,24)
0.8158992366391224413222569662	(20,25)
0.5583486226320955038248194811	(20,26)
0.3437776894403399051182392772	(20,27)
0.1777339266061971485492861534	(20,28)
0.0645515207921256466932285464	(20,29)
0.0072041227044411734265846691	(20,30)
5.333330786445826062325822799	(21,1)
5.333127788474169858128496356	(21,2)
5.33175890738367732633898674	(21,3)
5.327351177189033243449709836	(21,4)
5.317224918141112967485815595	(21,5)
5.298043229583073656731335512	(21,6)
5.26600107750021280219067345	(21,7)
5.217045523992409688507179831	(21,8)
5.147116985901341329161050382	(21,9)
5.052400115634304527718480111	(21,10)
4.929572078634418963478818939	(21,11)
4.7760357603541437740190816426	(21,12)
4.5901258471742546262490170177	(21,13)
4.3712768248079711860620003871	(21,14)
4.120143703752963034553170033	(21,15)
3.8386686323055823219270740531	(21,16)
3.5300893522841049920800846383	(21,17)
3.1988885017646542244229023348	(21,18)
2.8506858550386324555487840714	(21,19)
2.4920784906349863152610419927	(21,20)
2.1304363928766921110487972201	(21,21)
1.773662964053493102826945434	(21,22)
1.4299312553768273169770929647	(21,23)
1.1074073841684166141657210012	(21,24)
0.813972624357900409189655723	(21,25)
0.5569551215507409363844272011	(21,26)
0.3428812116507487873863439687	(21,27)
0.1772550468847570622045181957	(21,28)
0.0643737837308963615348059846	(21,29)
0.0071840712355697003414582573	(21,30)
5.333330778476304462703869758	(22,1)
5.333127145323783357880031056	(22,2)
5.331753982268620167025401826	(22,3)
5.327332479334192652593793729	(22,4)
5.317174665553032288704631337	(22,5)
5.297933535047402685406594977	(22,6)
5.265793053258538184755185606	(22,7)
5.216689599077349527234860954	(22,8)
5.146554687604023755780848638	(22,9)
5.05156745901716084250954618	(22,10)
4.9284045344821615328202769575	(22,11)
4.7744745473257860426137450906	(22,12)
4.588125048186346017660895051	(22,13)
4.3688106019425624321726052584	(22,14)
4.1172127253883582764459502167	(22,15)
3.8353047711184797898168680547	(22,16)
3.5263577901732191422844508697	(22,17)
3.1948865941948022822434949901	(22,18)
2.8465384458456605711661895577	(22,19)
2.487929789670195438508492448	(22,20)
2.1264389769469717625040780331	(22,21)
1.7699648725053670563958902113	(22,22)
1.4266624640403435852833473784	(22,23)
1.1046671064507688599425929822	(22,24)
0.8118188775471197678711396534	(22,25)
0.5553978057722672164232284533	(22,26)
0.3418795989481949035363994095	(22,27)
0.1767201102640914534814454143	(22,28)
0.0641752673510183610825939449	(22,29)
0.0071616770436762303351079469	(22,30)
5.333330769596148442860373441	(23,1)
5.333126428684244672618608808	(23,2)
5.331748494398236980078271837	(23,3)
5.327311645136425668617788311	(23,4)
5.317118672033517113608421442	(23,5)
5.297811311862957852702302631	(23,6)
5.265561279309275509770849747	(23,7)
5.216293063942291375828962455	(23,8)
5.145928288784042767885546089	(23,9)
5.0506399949045817611017154274	(23,10)
4.9271042577763003239174162551	(23,11)
4.772736191168172648436034988	(23,12)
4.5858977617012680511360315939	(23,13)
4.3660659797660489239207814878	(23,14)
4.1139519381947842897554871703	(23,15)
3.8315637464572672601877479938	(23,16)
3.5222094847406864464520057585	(23,17)
3.1904396462338274377821469952	(23,18)
2.8419318791087072813694708159	(23,19)
2.483323912666520131028232996	(23,20)
2.1220031191185954796041008282	(23,21)
1.7658630508062738362123877505	(23,22)
1.4230384115251473273394454332	(23,23)
1.1016302665181958789189181353	(23,24)
0.8094329444009594761277950256	(23,25)
0.553673171751927220212601469	(23,26)
0.3407706777113571398884795581	(23,27)
0.1761279887394824803621388325	(23,28)
0.0639555613470958422534860609	(23,29)
0.0071368943169985115623371328	(23,30)
5.3333307597798404638495282386	(24,1)
5.3331256364963158916654688514	(24,2)
5.3317424280063734576972790817	(24,3)
5.3272886147781746522246990778	(24,4)
5.3170567770479410033906646681	(24,5)
5.2976762105627507415073706828	(24,6)
5.2653050959587242378066729296	(24,7)
5.2158547977913242202830345894	(24,8)
5.1452360366488477800869769844	(24,9)
5.0496151635281910367669819047	(24,10)
4.9256677241733972972232437438	(24,11)
4.7708160874974496003926690347	(24,12)
4.5834382544293129457358922562	(24,13)
4.3630361335472402648464833725	(24,14)
4.1103535603084069952405779678	(24,15)
3.8274370483260097741569763346	(24,16)
3.5176355053127753503084313198	(24,17)
3.1855386633824181566950786559	(24,18)
2.8368574648782766226501232198	(24,19)
2.478252813508341718549861174	(24,20)
2.117121690865222402586239126	(24,21)
1.7613514702022027508073835917	(24,22)
1.419054247892392293966536195	(24,23)
1.0982931730647139397490812792	(24,24)
0.806812189980504022683615484	(24,25)
0.5517794820346792964622479936	(24,26)
0.3395534199712643284473358172	(24,27)
0.1754781701529360533370919235	(24,28)
0.0637144849535658584323971612	(24,29)
0.007109703194326427835164136	(24,30)
5.3333307490094519893016052987	(25,1)
5.333124767313209006427649014	(25,2)
5.3317357720172990591861906005	(25,3)
5.3272633462537193506217947548	(25,4)
5.3169888679636747153246438684	(25,5)
5.2975279863700339089254826296	(25,6)
5.2650240424479855615379281068	(25,7)
5.2153740212459141938119901646	(25,8)
5.144476720131060158506121959	(25,9)
5.0484912119884528927333702626	(25,10)
4.9240925491504321412978853161	(25,11)
4.7687111700254436330323361112	(25,12)
4.5807427856303215129102288085	(25,13)
4.3597167251507934206336966875	(25,14)
4.1064128059565230246055224161	(25,15)
3.822919656844834379306424144	(25,16)
3.5126308540411883055335499211	(25,17)
3.1801789375476365859611442948	(25,18)
2.8313110281952166633122786114	(25,19)
2.4727130352198998545311066289	(25,20)
2.1117920539882576882066970263	(25,21)
1.7564283166435669044506992881	(25,22)
1.4147088986566790266754147358	(25,23)
1.0946553379690899018480951752	(25,24)
0.8039565234354649056587343856	(25,25)
0.5497168550851688281677935051	(25,26)
0.3382279999887305336224144714	(25,27)
0.1747707879013218937949534149	(25,28)
0.0634520978384065238392301839	(25,29)
0.0070801109863214849638956562	(25,30)
5.3333307372751607067672490409	(26,1)
