mdd23_(sigma,mu)
-0.0051517991909700641214761801	(19,8)
-0.0064321679154210924010331424	(19,9)
-0.0077554512013524006059154745	(19,10)
-0.0090721380334165043072514018	(19,11)
-0.0103273099694104790224722442	(19,12)
-0.011463091129206442383095474	(19,13)
-0.012421814585895813931601657	(19,14)
-0.013149694126063713800568844	(19,15)
-0.013600714166727049252080455	(19,16)
-0.013740401371847049988962792	(19,17)
-0.013549125919263046571828473	(19,18)
-0.01302460122413116692229688	(19,19)
-0.01218330668912677794261773	(19,20)
-0.011060643082451204294926831	(19,21)
-0.009709735519287591975047997	(19,22)
-0.008198913796337330090948966	(19,23)
-0.006608012495527969826456164	(19,24)
-0.005023733167152983461335518	(19,25)
-0.003534389333755993043404264	(19,26)
-0.002224406027152529562682275	(19,27)
-0.00116896604666436237165311	(19,28)
-0.000429184898292795593431832	(19,29)
-0.000048157638598499496931595	(19,30)
-0.0000259662096134967310824385	(20,1)
-0.0002332600907177036912593284	(20,2)
-0.0006454114347847437244559053	(20,3)
-0.0012570278058526859009033972	(20,4)
-0.0020588055390759173981210375	(20,5)
-0.003036297668154832737155158	(20,6)
-0.0041686207844554919315770951	(20,7)
-0.0054273489322993648801906887	(20,8)
-0.0067758454206666402340926682	(20,9)
-0.0081692547420775546475463284	(20,10)
-0.0095553180713366333520739976	(20,11)
-0.0108760920671189734919346151	(20,12)
-0.012070550250028167477263491	(20,13)
-0.0130779400323285876714037824	(20,14)
-0.013841668903859996774849498	(20,15)
-0.014313412593451644171764358	(20,16)
-0.014457086689477940473825292	(20,17)
-0.014252308368677457459650466	(20,18)
-0.013696999310863753144537459	(20,19)
-0.012808842519252600946883555	(20,20)
-0.01162539808290292611641694	(20,21)
-0.010202795881414972082274148	(20,22)
-0.008613044803503382426745906	(20,23)
-0.00694011584694641966818117	(20,24)
-0.005275059312961388317780363	(20,25)
-0.00371049542791650760008379	(20,26)
-0.002334867427173480211730679	(20,27)
-0.001226863964031428919988325	(20,28)
-0.000450404149633274084889094	(20,29)
-0.000050536436047771307768441	(20,30)
-0.0000271183695647130051871347	(21,1)
-0.0002436101534522013541398411	(21,2)
-0.0006740484602188392831611639	(21,3)
-0.0013127976937881101637922108	(21,4)
-0.0021501299052809527994084715	(21,5)
-0.0031709324853236422888042086	(21,6)
-0.0043533522535026849509249329	(21,7)
-0.0056676367674080117525100955	(21,8)
-0.0070754367493035086519333266	(21,9)
-0.008529803362661025220682902	(21,10)
-0.0099760520414663075200825223	(21,11)
-0.0113535758913116802846629548	(21,12)
-0.0125985851946942834908045223	(21,13)
-0.0136476370126573550893573434	(21,14)
-0.0144417136284650297769287268	(21,15)
-0.014930523855970142301250725	(21,16)
-0.015076648271756348903899212	(21,17)
-0.014859135769532486832823719	(21,18)
-0.014276187142341093430338673	(21,19)
-0.01334662903496716440547401	(21,20)
-0.012109981067855711376888545	(21,21)
-0.010625039037630215147784812	(21,22)
-0.008967024716702966421443593	(21,23)
-0.007223474703754186431569927	(21,24)
-0.005489145442602232853373191	(21,25)
-0.003860290212230163542821999	(21,26)
-0.002428711358868005702408801	(21,27)
-0.001276005548776336446863135	(21,28)
-0.000468402646302350250998912	(21,29)
-0.000052553508283716440088408	(21,30)
-0.0000280974742974452367395938	(22,1)
-0.00025240561804174237118864	(22,2)
-0.0006983839363601045593614289	(22,3)
-0.001360189066211722848860652	(22,4)
-0.0022277291726353613016457105	(22,5)
-0.0032853188388530563146749451	(22,6)
-0.0045102682554338001509980354	(22,7)
-0.0058716788400001647344245428	(22,8)
-0.0073297208008800809810268871	(22,9)
-0.0088356366753345030518862971	(22,10)
-0.0103326498166557588543134152	(22,11)
