d^1_(sigma,mu)
-208.3056464684668459033529	(12,16)
-208.552019680010690095003	(12,17)
-208.8158894352971167172227	(12,18)
-209.0926702549996348620125	(12,19)
-209.3770376109357942433659	(12,20)
-209.6631039263939258774448	(12,21)
-209.9446182314628825045545	(12,22)
-210.2151792785614494193951	(12,23)
-210.4684520234735190075127	(12,24)
-210.6983781717427943142599	(12,25)
-210.8993728056987804673607	(12,26)
-211.0665007250093228647524	(12,27)
-211.1956278245488528732995	(12,28)
-211.2835443929251474107373	(12,29)
-211.328058491871746725518	(12,30)
-185.535588948816289660798	(13,1)
-185.5357336857318705599081	(13,2)
-185.5367096853733910656955	(13,3)
-185.5398522586167627545276	(13,4)
-185.5470713975158024443576	(13,5)
-185.5607441054432874309516	(13,6)
-185.5835774383947364958523	(13,7)
-185.6184480512763158252701	(13,8)
-185.6682255212467624738522	(13,9)
-185.7355880356635415657397	(13,10)
-185.8228400259362839606168	(13,11)
-185.9317418318940346256413	(13,12)
-186.0633613467834354691645	(13,13)
-186.2179567265277858253862	(13,14)
-186.394897633429678837286	(13,15)
-186.5926302031304456660084	(13,16)
-186.8086881469025229926865	(13,17)
-187.0397493784319806688537	(13,18)
-187.2817345796732366815318	(13,19)
-187.5299414932116949656784	(13,20)
-187.779206709189550791298	(13,21)
-188.0240854866304310140658	(13,22)
-188.2590397921075509237767	(13,23)
-188.47862522028305950928	(13,24)
-188.6776686432209353723732	(13,25)
-188.8514301004289429198531	(13,26)
-188.9957443267852324324823	(13,27)
-189.1071391551703216993054	(13,28)
-189.1829295955995572479464	(13,29)
-189.221287522299541116253	(13,30)
-166.9871136349697555758572	(14,1)
-166.9872345246151666253531	(14,2)
-166.9880497119751608842015	(14,3)
-166.9906744489832561697869	(14,4)
-166.9967037529743181612778	(14,5)
-167.008121983139881877546	(14,6)
-167.0271874715190065068363	(14,7)
-167.0562969425693541329025	(14,8)
-167.0978358258459543006146	(14,9)
-167.1540218459025911357824	(14,10)
-167.2267502918810008419822	(14,11)
-167.3174499402602831474124	(14,12)
-167.4269585611814105280089	(14,13)
-167.5554261705555384917988	(14,14)
-167.7022526714631659070128	(14,15)
-167.8660643368082598780199	(14,16)
-168.0447309012644761741382	(14,17)
-168.2354221184434665638537	(14,18)
-168.4346998113430973352442	(14,19)
-168.6386390149801963381732	(14,20)
-168.8429700477398531714895	(14,21)
-169.0432324321245867192117	(14,22)
-169.2349315801242236805683	(14,23)
-169.4136900030183831545062	(14,24)
-169.5753863276143215147199	(14,25)
-169.7162773458902384551159	(14,26)
-169.8331003972013772554663	(14,27)
-169.923155291336223204011	(14,28)
-169.9843664845285521979316	(14,29)
-170.0153271578960953689016	(14,30)
-150.75871260306636038009946	(15,1)
-150.75880585991246750910712	(15,2)
-150.75943470846605718939298	(15,3)
-150.76145942128365327423941	(15,4)
