kuu1111_(sigma,mu)
0.8360404194260721667395363417	(18,2)
0.8360379811238901087078802867	(18,3)
0.8360301298614699102775356469	(18,4)
0.8360120921977319959626833975	(18,5)
0.8359779232404346281602325522	(18,6)
0.8359208423937716688461149495	(18,7)
0.8358336239375386472552723357	(18,8)
0.8357090244571178090625996159	(18,9)
0.8355402270343887592257601835	(18,10)
0.8353212808559434617904954923	(18,11)
0.8350475146285454328803699914	(18,12)
0.8347159030012575645579028774	(18,13)
0.834325367105236435156086467	(18,14)
0.8338769932850664928110800824	(18,15)
0.8333741579756249496356987672	(18,16)
0.832822551262596087508518488	(18,17)
0.8322300966755475652740205027	(18,18)
0.8316067698830460766821697939	(18,19)
0.8309643238639699399214431987	(18,20)
0.8303159325160490041127848996	(18,21)
0.8296757682828188840277616408	(18,22)
0.8290585320594493220341675087	(18,23)
0.8284789552880915725320544473	(18,24)
0.8279512947719143974571149342	(18,25)
0.8274888403959664231832901294	(18,26)
0.827103454770217892209970295	(18,27)
0.8268051619657551618956315519	(18,28)
0.826601800167892804515978233	(18,29)
0.8264987503767460412526581992	(18,30)
0.8486784600039786935418417489	(19,1)
0.8486780318272418073641536617	(19,2)
0.8486751444895366775961027223	(19,3)
0.8486658473648494558885089264	(19,4)
0.8486444880556858862530723868	(19,5)
0.8486040272886913320845401139	(19,6)
0.8485364369110326016587750649	(19,7)
0.8484331630675316322705338714	(19,8)
0.8482856332534666211931554113	(19,9)
0.8480857833630875763223585684	(19,10)
0.8478265792887611154885346855	(19,11)
0.8475025072457083981961860391	(19,12)
0.8471100079261155208172223631	(19,13)
0.8466478318687904268087152549	(19,14)
0.8461172970118797154258866724	(19,15)
0.8455224341127801392763903154	(19,16)
0.8448700113033646942564557383	(19,17)
0.8441694351477484699028615126	(19,18)
0.8434325317805388411652540005	(19,19)
0.8426732176126481363670671115	(19,20)
0.8419070743200853494941420697	(19,21)
0.8411508470723799109577869318	(19,22)
0.8404218880061565643113683237	(19,23)
0.8397375687150625740842397186	(19,24)
0.8391146860308813545669423393	(19,25)
0.8385688847284963912026028726	(19,26)
0.8381141191834554513168594793	(19,27)
0.8377621736645535223732698798	(19,28)
0.8375222580773939941906747668	(19,29)
0.8374006927863090911640334685	(19,30)
0.8580150445321819237967536349	(20,1)
0.8580145424151561359388923403	(20,2)
0.8580111564757382206909475332	(20,3)
0.8580002538969679610407475717	(20,4)
0.8579752063497206519006086199	(20,5)
0.8579277595503980671804703705	(20,6)
0.8578485005470760773650879225	(20,7)
0.8577274017799196223624278217	(20,8)
0.8575544169138239756970400365	(20,9)
0.8573201003175710698519532616	(20,10)
0.8570162201199754195195404096	(20,11)
0.8566363342413828194282978348	(20,12)
0.8561762998486248932351148726	(20,13)
0.8556346893843489309528036645	(20,14)
0.8550130906207547378507936186	(20,15)
0.8543162738842956559077822892	(20,16)
0.8535522163563826441073163738	(20,17)
0.8527319807298808579672792732	(20,18)
0.851869452980625238717726057	(20,19)
0.8509809510756527172233682169	(20,20)
0.8500847226119818351974223603	(20,21)
0.8492003542877668314480084196	(20,22)
0.8483481195133112898525529248	(20,23)
0.8475482922857158545176599819	(20,24)
0.8468204557358564680575804933	(20,25)
0.8461828326877675707436470843	(20,26)
0.8456516634073942082567127935	(20,27)
0.8452406527557422044513560751	(20,28)
0.8449605054897935060439742398	(20,29)
0.8448185647202780766315289912	(20,30)
0.8641630565682496413928101018	(21,1)
0.8641624718524039875391615076	(21,2)
0.8641585289250214362096622374	(21,3)
0.8641458329034516117291001641	(21,4)
0.8641166653057024610219406424	(21,5)
0.8640614147808933663532462542	(21,6)
0.863969122015828205497456164	(21,7)
0.8638281144970597709246309033	(21,8)
0.8636267019890393442756028136	(21,9)
0.8633538998115792320056284837	(21,10)
0.8630001445908561765536146563	(21,11)
0.8625579664227732385444273165	(21,12)
0.8620225825578710219650473079	(21,13)
0.8613923809012119172413224766	(21,14)
0.8606692667622148904753754887	(21,15)
0.8598588531468228627733446658	(21,16)
0.8589704830376609629568178319	(21,17)
0.858017080993396778516225694	(21,18)
0.8570148403685509077551813849	(21,19)
0.8559827608523516385515156231	(21,20)
0.8549420582609889221057202165	(21,21)
0.8539154741384354288233665764	(21,22)
0.8529265164547074834422123302	(21,23)
0.8519986644634858332186668436	(21,24)
0.8511545707064823260183043793	(21,25)
0.8504152914924502247551054314	(21,26)
0.8497995742926061581915055582	(21,27)
0.8493232267750724369768698066	(21,28)
0.8489985880208102759524394696	(21,29)
0.8488341181276661550499802878	(21,30)
0.8674113622594912073973564031	(22,1)
0.8674106846740384398841422344	(22,2)
0.8674061155008311915709687407	(22,3)
0.8673914030459373742939481812	(22,4)
0.86735760319709403307595605	(22,5)
0.8672935790717287844457898713	(22,6)
0.8671866334688328890918409154	(22,7)
0.8670232460479022589900097507	(22,8)
0.8667898814339081422972358004	(22,9)
0.8664738298834569260973793919	(22,10)
0.8660640391619543318309620104	(22,11)
0.8655518952756759551923133364	(22,12)
0.8649319109909377918824715951	(22,13)
0.8642022848139020313878517859	(22,14)
0.8633652992458873785535759971	(22,15)
0.8624275353765841135815162656	(22,16)
0.8613998907043165599826213121	(22,17)
0.8602973977646787746532909895	(22,18)
0.8591388518856691185037457975	(22,19)
0.8579462663412125923194749223	(22,20)
0.8567441816143847472892838893	(22,21)
0.8555588618595818165977598584	(22,22)
0.8544174156636765754314841072	(22,23)
0.8533468798041378699519868152	(22,24)
0.8523733040802511964458586985	(22,25)
0.8515208728300265777830044599	(22,26)
0.8508110949287555413571079706	(22,27)
0.8502620894138704438015480386	(22,28)
0.8498879888690383709529392932	(22,29)
0.8496984777017222802719132964	(22,30)
0.8681680831004509592636339134	(23,1)
0.868167300567930043154454554	(23,2)
0.8681620237085049348801393034	(23,3)
0.8681450326079686220170799823	(23,4)
0.8681059982308438417953155285	(23,5)
0.8680320601205128420273573908	(23,6)
0.8679085581211201595352358755	(23,7)
0.8677198858355269572747397535	(23,8)
0.8674504267377031784066498356	(23,9)
0.867085528341083327784310372	(23,10)
0.8666124661212135861142578534	(23,11)
0.8660213475273873691290337028	(23,12)
0.8653059078181912164695797615	(23,13)
0.8644641538478967194054039916	(23,14)
0.8634988192691299971884526937	(23,15)
0.8624176045432699867537475403	(23,16)
0.8612331870000078783052488495	(23,17)
0.8599629990552780408455993953	(23,18)
0.85862878554074619762686257	(23,19)
0.8572559628754457792706798394	(23,20)
0.8558728126139126042921449964	(23,21)
0.8545095490780630472642816262	(23,22)
0.8531973049860248130975648849	(23,23)
0.8519670802330224533541535905	(23,24)
0.8508486975639326896891644725	(23,25)
0.8498698053375778721849390375	(23,26)
0.8490549625772817391659813078	(23,27)
0.8484248357064538386959189862	(23,28)
0.847995530380832277647154207	(23,29)
0.8477780761025863321101896821	(23,30)
0.8669053563359244170699977889	(24,1)
0.8669044548953045564833372455	(24,2)
0.8668983762083070934904321265	(24,3)
0.8668788033599590863302093718	(24,4)
0.8668338382758633140812806771	(24,5)
0.8667486680692021240457276146	(24,6)
0.8666064096562091852201626218	(24,7)
0.8663890956291210817680446283	(24,8)
0.8660787563056092357316430959	(24,9)
0.865658546197375226349312738	(24,10)
0.8651138585418562620251017834	(24,11)
0.8644333697082156651680751451	(24,12)
0.8636099567906141200409970806	(24,13)
0.8626414368589333347342066744	(24,14)
0.8615310851175724698196974948	(24,15)
0.8602879011857380629920529887	(24,16)
0.8589266070191862713662036873	(24,17)
0.8574673754905240600211284257	(24,18)
0.855935304009478782294175507	(24,19)
0.8543596614819894686043507645	(24,20)
0.8527729482541204828592289715	(24,21)
0.8512098166785388583874184684	(24,22)
0.8497059042183318198455270463	(24,23)
0.8482966316460393339878995025	(24,24)
0.8470160163697844321470958638	(24,25)
0.8458955459626579986843166836	(24,26)
0.8449631504617245933539044472	(24,27)
0.844242304810966318955982597	(24,28)
0.8437512856965302594937642602	(24,29)
0.8435026005036451859071250493	(24,30)
0.8641126949787197080668957839	(25,1)
0.8641116588143642911403008259	(25,2)
0.8641046716529062336038021844	(25,3)
0.864082173695346506120750009	(25,4)
0.8640304892806804824925104516	(25,5)
0.8639325939283500315569312987	(25,6)
0.863769087372027365953739565	(25,7)
0.8635193302726752052172478122	(25,8)
0.8631626927116714784038934417	(25,9)
0.8626798544771237536833942183	(25,10)
0.8620540914424979359402538896	(25,11)
0.8612724798947953852601922532	(25,12)
0.8603269522570478454588230778	(25,13)
0.8592151437107065567218936288	(25,14)
0.8579409797455427688458848577	(25,15)
0.8565149691032780478652089457	(25,16)
0.8549541838732056479929143775	(25,17)
