muu13_(sigma,mu)
-8.338359139203393453079038	(11,10)
-8.331548236576205424180738	(11,11)
-8.323027519571013474479257	(11,12)
-8.312699730843211070725308	(11,13)
-8.300527388943139535460136	(11,14)
-8.286539786511491380633953	(11,15)
-8.270837213088763820248784	(11,16)
-8.253592156981515970135053	(11,17)
-8.235047373027277892100681	(11,18)
-8.21551084120592279695107	(11,19)
-8.19534777860801571441461	(11,20)
-8.174969998045781361146077	(11,21)
-8.154823024649051472272296	(11,22)
-8.135371481806956583968026	(11,23)
-8.117083335355234672126531	(11,24)
-8.100413636625396609184315	(11,25)
-8.085788428771276355063742	(11,26)
-8.073589475897716853781582	(11,27)
-8.064140441472817944283179	(11,28)
-8.05769508306961945176669	(11,29)
-8.05442794748960967530042	(11,30)
-8.038750549440288111037307	(12,1)
-8.038737674777618422239537	(12,2)
-8.038650856402477075264101	(12,3)
-8.038371301294211627758604	(12,4)
-8.037729031025348437475934	(12,5)
-8.036512316750401371538639	(12,6)
-8.034479580203369228685821	(12,7)
-8.031373214718836719324588	(12,8)
-8.02693468768470418144536	(12,9)
-8.020920220637039904905163	(12,10)
-8.013116308888108550399461	(12,11)
-8.003354341375312789145158	(12,12)
-7.991523614114670612212034	(12,13)
-7.977582096401927429386352	(12,14)
-7.961564405199885308725565	(12,15)
-7.943586565801776515904354	(12,16)
-7.923847280197184760033745	(12,17)
-7.902625581711745848011926	(12,18)
-7.880274917747270271177005	(12,19)
-7.857213863760075214925446	(12,20)
-7.833913823069232989667816	(12,21)
-7.810884201404937171330584	(12,22)
-7.788655656087696038894818	(12,23)
-7.767762102592608521537506	(12,24)
-7.748722212867524220518699	(12,25)
-7.732021158735616530279199	(12,26)
-7.718093340285395106376156	(12,27)
-7.707306795080955933908374	(12,28)
-7.699949912268224960913739	(12,29)
-7.69622098005746733859547	(12,30)
-7.772321830522457010432879	(13,1)
-7.772307243489087077942277	(13,2)
-7.772208878067630323878954	(13,3)
-7.771892142319811942852924	(13,4)
-7.771164455406570769197031	(13,5)
-7.769785946762438901738122	(13,6)
-7.767482958362391727332465	(13,7)
-7.763963733483430407708282	(13,8)
-7.758935567907969353694897	(13,9)
-7.752122622273414143453837	(13,10)
-7.743283551864694514880627	(13,11)
-7.732228105936761941261212	(13,12)
-7.718831884327103074265663	(13,13)
-7.703048514325473988879849	(13,14)
-7.684918622900762181213831	(13,15)
-7.66457512353289928644421	(13,16)
-7.642244506024374700894127	(13,17)
-7.618244003003402819899321	(13,18)
-7.59297469846782112849291	(13,19)
-7.566910831322822988312999	(13,20)
-7.54058572046221699196224	(13,21)
-7.514574888663096040863241	(13,22)
-7.489477083273413300443971	(13,23)
-7.465893977411605750464122	(13,24)
-7.444409383587811468740188	(13,25)
-7.425568822056293308933886	(13,26)
-7.409860260648378013998937	(13,27)
-7.397696784776851911630055	(13,28)
-7.389401870306892024143806	(13,29)
-7.3851978231712821500537	(13,30)
-7.52592049206113133901714	(14,1)
-7.525904197728073881015214	(14,2)
-7.525794319483958337624232	(14,3)
-7.525440513628493831191326	(14,4)
-7.524627665932603862237494	(14,5)
-7.523087854948172336756426	(14,6)
-7.520515458105294400784942	(14,7)
-7.516584714384842416069572	(14,8)
-7.510968934081305162401827	(14,9)
-7.503360455568903239925686	(14,10)
-7.493490397105532700184414	(14,11)
-7.481147243374098119912494	(14,12)
-7.466193344577600478805419	(14,13)
-7.448578490850935794845584	(14,14)
-7.42834985393678358077408	(14,15)
-7.405657755774373652757522	(14,16)
-7.380756921204368616857269	(14,17)
-7.35400308833635501059029	(14,18)
-7.325845072647799776147267	(14,19)
-7.296812596498941878440963	(14,20)
-7.267500392043319284998002	(14,21)
-7.238549251823110602683592	(14,22)
-7.210624829606419667489727	(14,23)
-7.184395079340773788531605	(14,24)
-7.160507260853850938659636	(14,25)
-7.139565438588171508626646	(14,26)
-7.122109358182362101903084	(14,27)
-7.108595510811001351805936	(14,28)
-7.099381093433738466073191	(14,29)
-7.09471145108857024840964	(14,30)
-7.2705747943445898161064465	(15,1)
-7.2705568933341636829173584	(15,2)
-7.2704361808274707401087496	(15,3)
-7.2700474901636798783424105	(15,4)
-7.2691545042950094696433956	(15,5)
-7.2674629132083931003162689	(15,6)
-7.2646370381863166388228413	(15,7)
-7.2603191721366069049841275	(15,8)
