H1_(sigma,mu)
0.7653755907413499720358726231	(18,16)
0.7648689919827960644534008232	(18,17)
0.7643248783032320431584889661	(18,18)
0.7637524114136963448169518126	(18,19)
0.7631623853171777524054777925	(18,20)
0.762566898996661102266432677	(18,21)
0.7619789685053075206767495299	(18,22)
0.7614120952292798568570170873	(18,23)
0.7608798086092634051797839611	(18,24)
0.7603952021747886235263376178	(18,25)
0.7599704814322569649585177698	(18,26)
0.7596165410704787515016590005	(18,27)
0.7593425872536431761325488537	(18,28)
0.7591558186159508164945485839	(18,29)
0.7590611770986684512777606124	(18,30)
0.9573273867509514804661786244	(19,1)
0.9573269037584685690081205733	(19,2)
0.9573236467800130224732832002	(19,3)
0.9573131594252602295385944291	(19,4)
0.9572890656693938795092927679	(19,5)
0.9572434250620752324668284436	(19,6)
0.9571671816758424312435288673	(19,7)
0.9570506865797867987483962425	(19,8)
0.9568842698059169297055206464	(19,9)
0.9566588348711147217999864425	(19,10)
0.9563664471520850826797654553	(19,11)
0.9560008869821082869516143915	(19,12)
0.9555581393861275732740794721	(19,13)
0.9550367949452944502982791265	(19,14)
0.9544383403219212587220316949	(19,15)
0.95376732229623998670226901	(19,16)
0.9530313754652205285948046088	(19,17)
0.9522411106336222766970559812	(19,18)
0.9514098679332767731620572322	(19,19)
0.950553345372227711287810661	(19,20)
0.949689119413031735054963704	(19,21)
0.9488360789637285702772230029	(19,22)
0.9480137976041748723765685849	(19,23)
0.9472418708621632958493854215	(19,24)
0.9465392459218568933806379741	(19,25)
0.9459235704226872629233941228	(19,26)
0.9454105851976158335246636402	(19,27)
0.9450135831529456863821098082	(19,28)
0.9447429532584445646121664665	(19,29)
0.9446058250197552224051852325	(19,30)
1.1738038129629209639069600336	(20,1)
1.1738031260438707918414807781	(20,2)
1.1737984939239277465996353192	(20,3)
1.1737835786976584485085366129	(20,4)
1.173749312507745320905021919	(20,5)
1.1736844031168055591595548596	(20,6)
1.1735759731762073521073560318	(20,7)
1.1734103045255942866761500712	(20,8)
1.1731736533191825621841231074	(20,9)
1.1728530975015720260359212962	(20,10)
1.172437375496585292410295228	(20,11)
1.1719176742446965345641666343	(20,12)
1.171288326160703722841857801	(20,13)
1.1705473782808744463878809034	(20,14)
1.1696970027501776365089493655	(20,15)
1.1687437255933207780189283398	(20,16)
1.1676984599592242210930405672	(20,17)
1.1665763401175601686617886046	(20,18)
1.1653963627181958173686363888	(20,19)
1.1641808514861635134102934789	(20,20)
1.1629547699685412144814690203	(20,21)
1.1617449136639898266247026276	(20,22)
1.1605790175247899167109350006	(20,23)
1.1594848173059872608248794235	(20,24)
1.1584891036260429449053600741	(20,25)
1.1576168061414599512433302921	(20,26)
1.1568901422786241076174945246	(20,27)
1.1563278609140350492481299328	(20,28)
1.1559446066447104211032254622	(20,29)
1.1557504251818866033948574037	(20,30)
1.4173810366282252670324366282	(21,1)
1.4173800775902923831769057023	(21,2)
1.417373610488443544721087484	(21,3)
1.417352786756073922278344817	(21,4)
1.4173049467105878060208744802	(21,5)
1.41721432602791345560406433	(21,6)
1.4170629494861519627560139323	(21,7)
1.4168316720882057186543499158	(21,8)
1.4165013197695801461292916559	(21,9)
1.4160538757020006231882773476	(21,10)
1.4154736542522984499181647791	(21,11)
1.4147484034498160526624840449	(21,12)
1.41387027873520185213214642	(21,13)
1.412836635986173085928189802	(21,14)
1.411650600248887218908769039	(21,15)
1.4103213778509250339465271177	(21,16)
1.408864292944710951094906284	(21,17)
1.4073005441040823844230708041	(21,18)
1.4056566913091755378584830436	(21,19)
